Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Venting","What type of vent is installed to prevent trap siphonage by connecting to the fixture drain downstream of the trap?","Relief vent","Wet vent","Individual vent","Circuit vent","OptionC","An individual vent is dedicated to venting a single fixture trap, protecting it from siphonage or backpressure."
"Potable Water","Which of the following describes a cross-connection in plumbing systems?","A connection between hot and cold water lines","A physical connection between potable water supply and a non-potable source","A loop system in water distribution","A connection between copper and PEX piping","OptionB","A cross-connection is any physical link between potable water and a source of pollution or contamination."
"Drainage","What is the minimum required slope for a horizontal drainage pipe of 2 inches in diameter?","1/8 inch per foot","1/4 inch per foot","1/2 inch per foot","1/16 inch per foot","OptionB","Horizontal drainage pipes of 2 inches or smaller require a minimum slope of 1/4 inch per foot to maintain self-cleansing velocity."
"Venting","What is the maximum horizontal distance between a 1-1/2 inch trap and its vent?","3 feet 6 inches","5 feet","6 feet","8 feet","OptionC","Under standard plumbing codes, the maximum horizontal distance between a 1-1/2 inch fixture trap and its vent is 6 feet."
"Materials","Which piping material is NOT approved for water distribution inside residential buildings?","PEX","Copper (Type M)","PVC","CPVC","OptionC","PVC is generally not approved for hot water distribution inside residential buildings due to temperature limitations; CPVC and PEX are approved."
"Traps","What is the minimum depth of a fixture trap water seal?","1 inch","2 inches","3 inches","4 inches","OptionB","Standard codes require fixture traps to have a liquid seal depth of at least 2 inches and a maximum of 4 inches."
"Sizing","What is the minimum size of a water service pipe from the main supply source to the building?","1/2 inch","3/4 inch","1 inch","1-1/4 inches","OptionB","The minimum size of a water service pipe is 3/4 inch to ensure adequate volume and pressure."
"Sewer","What is the main purpose of a cleanout in a building drain?","To vent sewer gases","To allow inspection of sewer lines","To provide access for clearing blockages","To adjust water flow rates","OptionC","Cleanouts are removable caps installed to allow access to clear obstructions in drainage piping."
"Venting","What is the minimum size of a dry vent stack?","1 inch","1-1/4 inches","1-1/2 inches","2 inches","OptionB","The minimum diameter of a dry vent stack is 1-1/4 inches."
"Hangers","How often must horizontal copper tubing be supported?","Every 6 feet","Every 8 feet","Every 10 feet","Every 12 feet","OptionD","Horizontal copper tubing of 1-1/2 inches and smaller must be supported at intervals not exceeding 12 feet under standard codes."
