Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Codes","In areas adopting the UPC, what is the maximum number of fixture units allowed on a 2-inch horizontal vent pipe?","12 DFUs","24 DFUs","32 DFUs","48 DFUs","OptionB","Uniform Plumbing Code regulations restrict a 2-inch horizontal vent line to a maximum load of 24 DFUs."
"Valves","What valve must be installed on the cold water inlet of a water heater?","Gate valve","Full-open shutoff valve","Check valve","Globe valve","OptionB","A full-open shutoff valve (such as a ball valve or gate valve) must be installed on the cold water supply pipe to the heater."
"Venting","What is the minimum sizing for a vent serving a wet-vented bathroom group?","1-1/4 inches","1-1/2 inches","2 inches","3 inches","OptionC","Under IPC rules, the wet-vent portion of a bathroom group must be a minimum of 2 inches in diameter."
"Backflow","What backflow prevention assembly consists of two independently acting check valves with an intermediate relief valve?","Double check valve assembly","Reduced pressure zone (RPZ) preventer","Pressure vacuum breaker","Atmospheric vacuum breaker","OptionB","The Reduced Pressure Zone (RPZ) backflow preventer contains two check valves and a differential relief valve in between."
"Water Sizing","What is the equivalent fixture unit value of a residential kitchen sink?","1 DFU","2 DFUs","3 DFUs","4 DFUs","OptionB","A residential kitchen sink is rated at 2 drainage fixture units (DFUs)."
"Materials","What color is standard Schedule 40 ABS drainage pipe?","White","Black","Grey","Green","OptionB","ABS (Acrylonitrile Butadiene Styrene) piping is universally black in color."
"Cleanouts","What is the minimum required clearance in front of a cleanout for a 3-inch pipe?","12 inches","18 inches","24 inches","36 inches","OptionB","A cleanout serving a 3-inch pipe must have at least 18 inches of clearance for rodding access."
"Venting","Vents terminating through a roof in heavy snow areas like Kansas must terminate at least how high?","6 inches","12 inches","18 inches","24 inches","OptionB","In colder climates, ventialtion pipes must terminate at least 12 inches above the roof to prevent snow blockage."
"Sewer Sizing","What is the minimum slope for a 4-inch building sewer pipe?","1/16 inch per foot","1/8 inch per foot","1/4 inch per foot","1/2 inch per foot","OptionB","For pipes of 4 inches and larger, the minimum allowed slope is 1/8 inch per foot under standard code."
"Sewer Sizing","Which fixture does NOT require a separate trap?","Water closet","Bidet","Lavatory","Laundry tub","OptionA","Water closets have an integral trap built directly into the fixture casting, so they do not require an external trap."
