Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Testing","What is the minimum required duration for a water test on a completed DWV system rough-in?","5 minutes","15 minutes","30 minutes","60 minutes","OptionB","Standard codes require water tests on drainage rough-ins to hold pressure for at least 15 minutes without leaking."
"Compliance","What backflow prevention method is universally considered the most reliable and fail-safe?","Double check valve","Potable vacuum breaker","Reduced pressure zone (RPZ) preventer","Air gap","OptionD","An physical air gap is the most reliable backflow protection method because it has no moving parts to fail."
"Violations","Which trap style is an inspector required to reject on a sanitary drainage system?","P-trap","S-trap","Deep seal trap","Anti-siphon trap","OptionB","S-traps are code violations because they lack venting and can siphon themselves empty during drainage flow."
"Safety","What device must be installed on a domestic water heater system to control pressure increase due to thermal expansion?","Pressure regulator","Thermal expansion tank","Backflow preventer","Vacuum breaker","OptionB","Thermal expansion tanks are required on closed water distribution systems to absorb expansion and prevent water heater rupture."
"Compliance","What is the minimum distance between a water service pipe and a building sewer pipe in the same trench?","2 feet","5 feet","10 feet","Water and sewer cannot share a trench unless sewer is rated as water pipe","OptionD","Water and sewer lines must be separated horizontally by 10 feet of undisturbed earth unless the sewer pipe is rated for water service."
"Venting","What is the minimum height that a vent terminal must extend above the flood level rim of a fixture before turning horizontally?","2 inches","6 inches","12 inches","At least 6 inches above flood rim","OptionD","Vents must rise at least 6 inches above the flood rim of the highest fixture served before offsetting horizontally to prevent backing up."
"Violations","Which fixture is an inspector guaranteed to reject if it lacks an air gap on its waste line?","Commercial dishwasher","Residential kitchen sink","Bidet","Residential bathtub","OptionA","Commercial dishwashers must drain indirectly through an air gap to prevent wastewater backflow into food equipment."
"Sizing","What is the fixture unit rating (DFU) of a standard commercial water closet (flush valve)?","3 DFUs","4 DFUs","6 DFUs","10 DFUs","OptionC","A flush valve commercial water closet is rated at 6 drainage fixture units (DFUs)."
"Hangers","What is the maximum horizontal support spacing for 3-inch PVC pipe under IPC?","4 feet","6 feet","8 feet","10 feet","OptionA","Horizontal PVC piping of all sizes must be supported at maximum intervals of 4 feet to maintain grade alignment."
"Testing","When performing an air test on a DWV system, what pressure must the system hold for 15 minutes?","2 psi","5 psi","10 psi","30 psi","OptionB","An air test on drainage rough-in piping requires holding a constant pressure of 5 psi (or 10 inches of mercury) for 15 minutes."
