Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"IPC Codes","Under International Plumbing Code rules, what is the maximum number of drainage fixture units allowed on a 4-inch horizontal drain pipe at 1/4 inch slope?","160 DFUs","216 DFUs","250 DFUs","500 DFUs","OptionB","IPC drainage sizing tables limit a 4-inch horizontal branch drain at a 1/4 inch slope to a maximum load of 216 DFUs."
"UPC Codes","Under Uniform Plumbing Code (UPC) rules, what is the maximum length of a 2-inch vent pipe?","60 feet","120 feet","150 feet","200 feet","OptionB","The UPC restricts the length of a 2-inch vent serving standard loads to a maximum of 120 feet."
"Backflow","Which device is suitable for backflow protection where backpressure and high health hazards exist?","Atmospheric vacuum breaker","Double check valve assembly","Reduced pressure zone (RPZ) backflow preventer","Pressure vacuum breaker","OptionC","RPZ backflow preventers are the only mechanical assemblies rated for high health hazards involving backpressure."
"Venting","What is the maximum distance between a vent connection and the fixture trap for a 1-1/4 inch drain pipe under IPC?","3.5 feet","5 feet","6 feet","8 feet","OptionB","The maximum horizontal distance between a 1-1/4 inch trap and its vent connection is 5 feet."
"Materials","What is the required color marking for underground copper water lines carrying potable water?","Blue stripe","Red stripe","Green stripe","Yellow stripe","OptionA","potable water service piping is marked with blue color indicators or stripes to distinguish it from other lines."
"Cleanouts","What is the minimum required size of a cleanout serving a 4-inch sewer pipe?","3 inches","3-1/2 inches","4 inches","6 inches","OptionC","Cleanouts must be the same size as the piping they serve up to 4 inches; therefore, a 4-inch sewer requires a 4-inch cleanout."
"Venting","A vent stack must terminate at least how far horizontally from any building window or air intake?","3 feet","5 feet","10 feet","15 feet","OptionC","Vent terminals must be at least 10 feet away horizontally from any openable window, door, or ventilation intake."
"Sizing","What is the fixture unit value of a residential water closet (gravity tank)?","3 DFUs","4 DFUs","6 DFUs","8 DFUs","OptionA","Under modern codes, a residential water closet is rated at 3 drainage fixture units (DFUs)."
"Hangers","What is the maximum horizontal support spacing for threaded black iron pipe of 1-1/2 inches?","10 feet","12 feet","15 feet","20 feet","OptionB","Threaded steel piping of 1-1/2 inches must be supported horizontally at intervals not exceeding 12 feet."
"Compliance","What is the minimum vertical air gap between a faucet outlet and the flood rim of a bathroom lavatory?","1 inch","1.5 inches","2 inches","2.5 inches","OptionA","Bathroom lavatories require a minimum air gap of 1 inch (or twice the effective opening diameter of the faucet outlet)."
