Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Residential Code","What is the minimum clearance from the center of a residential water closet to any side wall or partition?","12 inches","15 inches","18 inches","21 inches","OptionB","Plumbing codes require at least 15 inches of clear space from the centerline of a toilet to any side wall or obstruction."
"Residential Code","What is the minimum clearance in front of a residential toilet to the opposite wall or fixture?","18 inches","21 inches","24 inches","30 inches","OptionD","A minimum of 21 inches of clear space is required in front of the toilet, although 30 inches is highly recommended for accessibility."
"Materials","What is the proper tool used to cut copper tubing to ensure a clean, square end?","Hacksaw","Tubing cutter","Reciprocating saw","Miter saw","OptionB","A tubing cutter (wheel cutter) is the standard tool used to make clean, square cuts on copper pipe."
"Safety","What is the primary danger when working inside deep trenches without shoring?","Tripping","Sewer gas inhalation","Cave-in and burial","Water accumulation","OptionC","Cave-ins represent the single most dangerous hazard when excavating trenches without protective shoring or shielding."
"Venting","What is the minimum size of a residential kitchen sink drain line?","1-1/4 inches","1-1/2 inches","2 inches","3 inches","OptionB","A residential kitchen sink requires a minimum 1-1/2 inch waste line under standard residential plumbing codes."
"Residential Code","What is the minimum size of a residential shower drain?","1-1/4 inches","1-1/2 inches","2 inches","3 inches","OptionC","Standard residential codes require a shower drain to be at least 2 inches in diameter (although some local jurisdictions allow 1-1/2 inches for prefabricated pans)."
"Materials","What chemical cement is used to weld ABS piping?","Purple primer and clear PVC cement","Yellow ABS cement only","Transition cement","Solder flux","OptionB","ABS pipe is joined using a single-step yellow ABS cement without primer."
"Venting","Which type of vent uses the drainage pipe of one fixture as the vent for another?","Common vent","Wet vent","Loop vent","Yoke vent","OptionB","A wet vent is a vent pipe that also serves as a drain for one or more fixtures in the same group."
"Safety","Under OSHA guidelines, how close to the edge of an excavation can the spoil pile be placed?","At the very edge","At least 1 foot","At least 2 feet","At least 5 feet","OptionC","OSHA requires the spoil pile (excavated dirt) to be kept at least 2 feet back from the edge of the trench to prevent cave-ins."
"Traps","What is the maximum allowed distance between a plumbing fixture and its trap?","12 inches","24 inches","30 inches","36 inches","OptionB","The vertical distance from a fixture's outlet to its trap weir must not exceed 24 inches to limit waste decomposition odor."
