Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Contracts","Which legal document allows a contractor to secure a claim against a property for unpaid plumbing services?","Mechanic's Lien","Performance Bond","Promissory Note","Purchase Order","OptionA","A mechanic's lien is a legal claim filed against a property by contractors or subcontractors to secure payment for work performed."
"Estimation","If a commercial project requires 120 man-hours to complete, how many days will it take a crew of 3 plumbers working 8-hour days?","3 days","5 days","8 days","10 days","OptionB","A crew of 3 plumbers working 8 hours provides 24 man-hours per day. 120 / 24 = 5 days."
"Estimation","Which of the following is considered an indirect overhead cost for a plumbing contractor?","Copper pipe fittings","Job site permit fees","Office rent","Subcontractor labor","OptionC","Office rent is an indirect overhead expense that cannot be billed directly to a specific project but is necessary to run the business."
"Codes","What is the maximum allowed pressure in residential water lines under standard safety codes?","50 psi","80 psi","100 psi","120 psi","OptionB","Standard residential plumbing codes require water pressure to be regulated to not exceed 80 psi to protect fixtures and piping."
"Safety","Under OSHA rules, trench excavations must be inspected by a competent person at least how often?","Daily","Weekly","Every 2 hours","Only after rainfall","OptionA","OSHA requires trench excavations to be inspected daily, prior to worker entry, and after any hazard-increasing event like rain."
"Contracts","What type of bond guarantees that a contractor will complete the project according to contract terms?","Bid Bond","Payment Bond","Performance Bond","Maintenance Bond","OptionC","A Performance Bond guarantees the owner that the project will be finished according to contract plans and specifications."
"Taxation","Which tax form must a contractor issue to self-employed subcontractors who earn over  in a year?","W-2","1099-NEC","Form 940","W-4","OptionB","Form 1099-NEC is used to report nonemployee compensation paid to independent subcontractors."
"Sizing","What is the minimum diameter of a building drain in a commercial building with 20 public water closets?","3 inches","4 inches","6 inches","8 inches","OptionB","A 4-inch building drain is required to carry the load of multiple water closets (up to 180 DFUs under standard tables)."
"Codes","What is the minimum sizing for a commercial food-service grease interceptor connected to a commercial pot sink?","5 gallons per minute (GPM)","10 GPM","20 GPM","50 GPM","OptionC","Commercial three-compartment pot sinks typically require a minimum 20 GPM flow-rated grease trap."
"Safety","At what depth does a trench require a protective shoring, shielding, or sloping system under OSHA rules?","3 feet","4 feet","5 feet","8 feet","OptionC","OSHA requires shoring, shielding, or sloping for trenches 5 feet or deeper, or shallower if cave-in hazards exist."
