Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"248 CMR","Which regulatory board governs plumbing licensing and codes in Massachusetts?","DPOR","Board of State Examiners of Plumbers and Gas Fitters","Massachusetts Department of Public Safety","TSBPE","OptionB","Licensing and codes are administered by the Massachusetts Board of State Examiners of Plumbers and Gas Fitters."
"248 CMR","What is the minimum size of a building drain in Massachusetts under 248 CMR?","2 inches","3 inches","4 inches","6 inches","OptionC","Unlike model codes, 248 CMR requires the main building drain to be a minimum of 4 inches in diameter."
"248 CMR","What is the maximum length of a fixture tailpiece under 248 CMR rules?","18 inches","24 inches","30 inches","36 inches","OptionB","The maximum vertical distance from the fixture outlet to the trap weir is 24 inches in Massachusetts."
"248 CMR","Under 248 CMR, what is the minimum vent size for a residential water closet?","1-1/2 inches","2 inches","3 inches","4 inches","OptionB","In Massachusetts, a water closet must be vented with a pipe of at least 2 inches in diameter."
"248 CMR","What is the minimum diameter of a wet vent under 248 CMR?","1-1/2 inches","2 inches","3 inches","Wet venting is prohibited in MA","OptionB","Under 248 CMR, where wet venting is permitted for bathroom groups, it must be at least 2 inches in diameter."
"248 CMR","Which material is strictly prohibited for sanitary drainage piping inside a building in MA?","Cast iron","PVC Schedule 40","Lead pipe","ABS Schedule 40","OptionC","Lead piping is prohibited for new sanitary installations under modern 248 CMR standards."
"248 CMR","What is the required test pressure for a water system piping inspection in Massachusetts?","50 psi","100 psi","125 psi","Working pressure or 150 psi","OptionD","Massachusetts codes require water piping to be tested at 150% of the working pressure or 125 psi, whichever is greater."
"248 CMR","Can a trap serve more than one fixture under 248 CMR?","Yes, for up to three laundry tubs","No, every fixture must have an individual trap","Yes, for a double-compartment residential sink","Only with board approval","OptionC","A single trap is permitted for a double-compartment residential sink where the outlets are close together (within 30 inches)."
"248 CMR","What is the maximum fixture unit value allowed on a 2-inch horizontal waste line under 248 CMR?","4 DFUs","8 DFUs","10 DFUs","12 DFUs","OptionB","A 2-inch horizontal waste line can carry up to 8 drainage fixture units (DFUs) under 248 CMR drainage tables."
"248 CMR","What type of joint is required when connecting copper pipe to cast iron?","Threaded joint","Solder joint","Caulked joint or approved adapter coupling","Welded joint","OptionC","Approved mechanical adapter couplings or caulked joints are used to connect dissimilar metals."
