Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"DPOR Rules","Which agency issues plumbing licenses in the state of Virginia?","Virginia Board of Contractors","DPOR","Virginia DHCD","Virginia DHP","OptionB","The Department of Professional and Occupational Regulation (DPOR) governs plumbing licensure under the Board for Contractors."
"USBC Amendments","Under Virginia Uniform Statewide Building Code rules, what is the maximum water temperature from a shower head?","110F","120F","130F","140F","OptionB","The USBC restricts shower outlet temperatures to a maximum of 120F (49C) to prevent scalding."
"Water Sizing","What is the minimum pressure required at the building entry point for water supply systems?","20 psi","30 psi","40 psi","80 psi","OptionC","Virginia codes require a minimum static water pressure of 40 psi at the fixture outlets or service entrance."
"Hangers","What is the maximum horizontal support spacing for PEX piping under Virginia USBC?","2 feet 8 inches (32 inches)","4 feet","6 feet","10 feet","OptionA","PEX tubing must be supported horizontally at intervals not exceeding 32 inches (or 2.67 feet) to prevent sagging."
"Cleanouts","What is the maximum spacing between cleanouts on horizontal drainage lines of 4 inches and smaller in Virginia?","50 feet","75 feet","100 feet","150 feet","OptionC","Cleanouts must be installed at intervals of not more than 100 feet for pipes up to 4 inches in diameter."
"Venting","What is the minimum height a vent terminal must extend above the roof in Virginia to prevent frost closure?","6 inches","12 inches","18 inches","24 inches","OptionB","Virginia amendments require vents to terminate at least 12 inches above the roof line to avoid frost closure."
"Soil Pipes","What is the minimum size of a building drain carrying discharge from three water closets?","2 inches","3 inches","4 inches","5 inches","OptionB","A 3-inch drain can carry up to three water closets under standard IPC fixture unit tables."
"Venting","What type of trap is strictly prohibited from being installed in a sanitary drainage system?","P-trap","S-trap","Drum trap","Bell trap","OptionB","S-traps are prohibited because they are highly susceptible to siphonage under drainage loads."
"Materials","What is the minimum thickness required for copper water service piping installed underground?","Type K","Type L","Type M","DWV","OptionA","Underground water service pipes must be copper Type K or L; Type K is preferred for maximum durability."
"Materials","What color indicates CPVC pipe used for fire sprinkler systems in Virginia?","Grey","Beige/Tan","Orange","Blue","OptionC","Orange CPVC piping is chemically rated and color-coded specifically for fire protection systems."
