"Keyword","AllInTitleCount","CompetitionStatus","IsGoldmine","VolumeIndicator"
"gpa calculator with current gpa and credits","4","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"converter case for iphone 16 pro max","6","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"age calculator with height and weight","7","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"tally counter se kya hota hai","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"age calculator for a specific date","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"convert pdf with ocr to excel free","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"how to convert decimal to binary converter","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"gpa calculator with ap and honors classes","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"word counter extension for google docs","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"age calculator with month and year","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"case converter convert uppercase to lowercase and caps","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"age calculator with date of birth","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"age calculator with year and month","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"tally counter a quoi ca sert","10","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"percentage calculator what is x of y","14","Very Low: 1-2 Pages of Results (Goldmine)","True","High (Autocomplete Suggested)"
"date of birth calculator as on date","50","Low: 3-6 Pages of Results (Perfect Goldmine)","True","High (Autocomplete Suggested)"
"wheel spinner with all nba teams","50","Low: 3-6 Pages of Results (Perfect Goldmine)","True","High (Autocomplete Suggested)"
"age calculator with time and date","50","Low: 3-6 Pages of Results (Perfect Goldmine)","True","High (Autocomplete Suggested)"
"date calculator in years months and days in excel","50","Low: 3-6 Pages of Results (Perfect Goldmine)","True","High (Autocomplete Suggested)"
