Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Residential Sizing","What is the water supply fixture unit (WSFU) value of a standard residential lavatory faucet?","0.5 WSFU","1 WSFU","2 WSFU","2.5 WSFU","OptionB","Under residential water supply tables, a lavatory faucet is rated at 1 WSFU for private use."
"Residential Sizing","What is the minimum diameter of a residential main building drain?","2 inches","3 inches","4 inches","1-1/2 inches","OptionB","The building drain for a single-family home must be at least 3 inches in diameter to allow toilet waste flows."
"Venting","What is the maximum distance a 2-inch fixture trap can be from its vent?","5 feet","6 feet","8 feet","10 feet","OptionC","Standard residential plumbing codes allow a maximum horizontal distance of 8 feet between a 2-inch trap and its vent line."
"Water Heaters","The discharge pipe from a T&P relief valve must terminate how far above the floor or waste receptor?","No more than 6 inches","No more than 12 inches","Exactly 1 inch","Flush with the floor","OptionA","T&P relief discharge pipes must terminate indirectly, pointing down, between 1 inch and 6 inches above the floor or pan to prevent safety hazards."
"Sizing","What is the minimum size of a residential bathtub drain line?","1-1/4 inches","1-1/2 inches","2 inches","3 inches","OptionB","Residential tub drains must be at least 1-1/2 inches in diameter under standard IRC codes."
"Materials","Which piping material is approved for underground domestic water service lines inside a residential building lot?","PVC Schedule 40","PEX","Galvanized steel","Copper Type M","OptionB","PEX tubing is highly approved for underground water service lines and provides durability without corrosion issues."
"Compliance","What is the minimum clearance in front of a residential kitchen sink?","18 inches","21 inches","24 inches","30 inches","OptionB","Codes require at least 21 inches of clear work space in front of residential fixtures including kitchen sinks."
"Venting","What type of vent system uses a single vertical stack serving as the vent and drain for multiple residential fixtures?","Circuit vent","Common vent","Wet vent","Waste stack vent","OptionC","Wet venting uses a single pipe section as both a drain and a vent for fixtures within the same bathroom group."
"Traps","What is the maximum allowed horizontal offset for a residential laundry standpipe?","No offset allowed","12 inches","24 inches","36 inches","OptionA","A laundry standpipe must be a straight vertical line without offsets to ensure fast pumping drainage from washer pumps."
"Materials","What joint type is prohibited for joining PEX tubing under standard building codes?","Crimp ring joints","Expansion joints","Threaded compression joints","Solvent welding joints","OptionD","PEX cannot be solvent welded (glued); it must be joined using mechanical fittings, crimps, or expansion sleeves."
