Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"General Codes","What is the minimum size of a building sewer pipe?","2 inches","3 inches","4 inches","6 inches","OptionB","Standard codes require building sewers to be a minimum of 3 inches in diameter to avoid blockages from solids."
"General Codes","Which vent terminal parameter prevents sewer gas from entering windows?","Must terminate 10 feet away horizontally","Must terminate 3 feet away horizontally","Must terminate 5 feet away horizontally","No horizontal distance is specified","OptionA","Vents must terminate at least 10 feet horizontally from any building opening (windows, doors, vents) to protect indoor air quality."
"Traps","What is the maximum allowed seal depth for a standard plumbing trap?","2 inches","3 inches","4 inches","6 inches","OptionC","Plumbing traps must have a liquid seal depth of at least 2 inches and no more than 4 inches under standard codes."
"Materials","Which pipe joining method is suitable for underground copper tubing?","Solvent welding","Soldering or brazing","Threaded couplings","Push-fit connectors","OptionB","Underground copper joints must be soldered or brazed using lead-free alloy for maximum mechanical strength."
"Sizing","What is the drainage fixture unit (DFU) value of a domestic bidet?","1 DFU","2 DFUs","3 DFUs","4 DFUs","OptionA","A residential bidet is rated at 1 DFU under drainage piping tables."
"Venting","What is the primary purpose of venting a plumbing fixture?","To allow water to drain faster","To supply oxygen to aerobic sewer bacteria","To maintain atmospheric pressure and protect trap seals","To prevent pipe corrosion","OptionC","Venting prevents pressure drops or spikes that would siphon trap seals and allow sewer gases to enter living spaces."
"Valves","What valve is designed to prevent water flow in the reverse direction?","Gate valve","Check valve","Globe valve","Ball valve","OptionB","A check valve allows water to flow in one direction only, blocking any reverse flow (backflow)."
"Cleanouts","A cleanout is required at what maximum angle of change in direction for drainage piping?","Greater than 45 degrees","Greater than 90 degrees","Greater than 135 degrees","No angle requirement","OptionA","A cleanout is required for any aggregate change in direction of horizontal piping exceeding 45 degrees."
"Safety","What is the minimum width of an OSHA-compliant exit path from an excavation trench?","12 inches","18 inches","20 inches","24 inches","OptionC","OSHA egress ladders or ramps must provide a clear width of at least 20 inches."
"Sizing","What is the minimum required drainage pipe size for a toilet?","2 inches","3 inches","4 inches","1-1/2 inches","OptionB","Toilets require a minimum waste outlet and drain pipe of 3 inches to prevent clogging."
