Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"TSBPE Rules","Which state agency administers plumbing licenses and regulation in Texas?","TDLR","TSBPE","TCEQ","Texas DPS","OptionB","The Texas State Board of Plumbing Examiners (TSBPE) is the agency responsible for licensing plumbers in Texas."
"IPC/UPC Codes","In Texas, horizontal drainage piping must be supported at what maximum intervals for cast-iron pipe?","Every 5 feet","Every 10 feet","Every 8 feet","At each story height","OptionA","Cast-iron piping must be supported at maximum intervals of 5 feet, or 10 feet where 10-foot lengths are used."
"Venting","What is the maximum length of a 2-inch vent pipe under TSBPE IPC rules?","40 feet","75 feet","150 feet","200 feet","OptionC","Under International Plumbing Code rules, a 2-inch vent serving standard fixture unit loads has a maximum allowable length of 150 feet."
"Water Heaters","What is the minimum sizing for a temperature and pressure (T&P) relief valve discharge pipe?","1/2 inch","3/4 inch","1 inch","Size of the valve outlet","OptionD","The T&P valve discharge pipe must not be smaller than the diameter of the outlet of the valve it serves (typically 3/4 inch)."
"Sewer Sizing","What is the minimum size of a building sewer in Texas?","2 inches","3 inches","4 inches","6 inches","OptionB","Standard Texas codes require building sewers to be a minimum of 3 inches in diameter."
"TSBPE Rules","A Journeyman Plumber in Texas may supervise how many Apprentice Plumbers on a commercial job site?","1","2","3","Unlimited","OptionC","Texas board rules allow a Journeyman to supervise up to 3 apprentices on a commercial job site."
"Venting","Under IPC rules, what is the maximum load in fixture units (DFUs) allowed on a 3-inch horizontal branch drain?","20 DFUs","40 DFUs","60 DFUs","160 DFUs","OptionA","A 3-inch horizontal branch can handle up to 20 DFUs under standard IPC drainage tables."
"Backflow","What backflow prevention device is required for a commercial carbonated beverage dispenser?","Double check valve","Reduced pressure zone (RPZ) backflow preventer","Vented double check valve (ASSE 1022)","Atmospheric vacuum breaker","OptionC","An ASSE 1022 backflow preventer with an intermediate atmospheric vent is required for carbonators to prevent copper poisoning."
"Sizing","What is the minimum height that a vent pipe must terminate above a roof in Texas?","6 inches","12 inches","18 inches","24 inches","OptionA","Vents must terminate at least 6 inches above the roof line, or higher if local snow load adjustments apply."
"Drawings","What projection angle is used to draw a standard plumbing isometric sketch?","30 degrees","45 degrees","60 degrees","90 degrees","OptionA","Isometric drawings represent 3D piping layouts with axes angled at 30 degrees to the horizontal."
