Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"Design Sizing","Using Hunter's Curve, what is the demand in gallons per minute (GPM) for a water system with 100 flush valve water closets?","50 GPM","100 GPM","208 GPM","350 GPM","OptionC","Based on Hunter's Curve estimation, 100 flush-valve fixture units translate to a peak demand of approximately 208 GPM."
"Storm Drainage","What is the required sizing of a horizontal storm drain pipe with a 1/4 inch slope for a roof area of 10,000 sq ft (assuming 3 inches per hour rainfall)?","3 inches","4 inches","5 inches","6 inches","OptionD","Under standard IPC storm drainage tables, a 6-inch horizontal storm drain at 1/4 inch slope can handle up to 13,600 sq ft of roof area."
"Business Law","Which type of insurance covers workers injured on a plumbing job site?","General Liability","Workers' Compensation","Professional Indemnity","Property Insurance","OptionB","Workers' Compensation is state-mandated insurance designed to pay medical bills and lost wages for workers injured on the job."
"Gas Sizing","What is the maximum capacity of a 1/2 inch black iron gas pipe carrying natural gas over a length of 50 feet?","25,000 BTU","44,000 BTU","72,000 BTU","120,000 BTU","OptionB","Under standard gas piping tables, a 1/2 inch pipe at 50 feet has a maximum capacity of approximately 44,000 BTUs/hour."
"Water Sizing","Potable water supply systems must be designed to limit maximum water velocity to how many feet per second (fps) to prevent water hammer?","5 fps","8 fps","10 fps","12 fps","OptionB","Standard engineering designs restrict hot/cold copper pipe velocities to 8 fps to prevent erosion and water hammer noise."
"Venting","What is the maximum fixture unit load allowed on a 4-inch stack vent?","100 DFUs","250 DFUs","500 DFUs","1000 DFUs","OptionD","A 4-inch stack vent can handle up to 1,000 drainage fixture units under standard drainage codes."
"Valves","What backflow prevention device is required for a commercial boiler system with chemical additives?","Double check valve","Atmospheric vacuum breaker","Reduced pressure zone (RPZ) backflow preventer","Hose bibb vacuum breaker","OptionC","Chemical boiler systems present a high health hazard, requiring a reduced pressure zone (RPZ) backflow preventer."
"Materials","What is the maximum spacing between horizontal supports for 2-inch PVC drainage pipe?","4 feet","6 feet","8 feet","10 feet","OptionA","PVC horizontal drainage piping must be supported every 4 feet under standard codes to prevent line sag."
"Safety","Under OSHA guidelines, how far must a ladder extend above the edge of a trench?","1 foot","2 feet","3 feet","5 feet","OptionC","OSHA requires ladders to extend at least 3 feet above the landing surface for safe egress from trenches."
"Drawings","An isometric drawing shows piping offsets at what standard angle to show vertical rises?","30 degrees","45 degrees","90 degrees","120 degrees","OptionC","Vertical rises are represented with vertical lines (90 degrees to horizontal) in isometric drawings."
