Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
"WSSC Code","The WSSC governs plumbing and gas fitting in which two Maryland counties?","Baltimore & Harford","Montgomery & Prince George's","Howard & Anne Arundel","Frederick & Carroll","OptionB","The WSSC regulates plumbing in Montgomery and Prince George's counties, Maryland."
"WSSC Code","Under WSSC code, what is the minimum size of a residential grease interceptor?","50 gallons","100 gallons","500 gallons","Grease interceptors are not required for residences","OptionD","Residential kitchens generally do not require grease interceptors; they are required for commercial food service establishments."
"WSSC Code","What is the WSSC requirement for testing drainage piping with water?","5-foot head of water","10-foot head of water","15 psi air pressure","20 psi air pressure","OptionB","WSSC requires drainage piping to be water-tested by filling the pipes to a head of at least 10 feet of water."
"WSSC Code","What gas piping material is allowed under WSSC regulations with specific bonding rules?","PVC","CSST (Corrugated Stainless Steel)","Lead pipe","Galvanized pipe","OptionB","CSST is allowed but requires electrical bonding to the grounding electrode system under WSSC and national codes."
"Venting","What is the minimum diameter of a vent line serving a residential kitchen sink under WSSC code?","1-1/4 inches","1-1/2 inches","2 inches","3 inches","OptionB","A 1-1/2 inch vent is the standard minimum size for a residential kitchen sink waste line under WSSC IPC guidelines."
"Backflow","How often must backflow prevention assemblies be tested under WSSC water regulation?","Every 6 months","Annually","Every 2 years","Only upon installation","OptionB","Backflow prevention assemblies must be inspected and tested annually by a certified backflow tester."
"Water Heaters","Under WSSC code, water heaters located in attics must have what auxiliary safety item?","An emergency alarm","A secondary drain pan with a drain pipe line","A dual T&P valve","An automatic shutoff timer","OptionB","An auxiliary drain pan is required beneath water heaters in attics or ceiling spaces to prevent property damage."
"Cleanouts","What is the required spacing between cleanouts on a straight horizontal run under WSSC code?","Every 50 feet","Every 75 feet","Every 100 feet","Every 150 feet","OptionC","Cleanouts must be installed at straight-line intervals not exceeding 100 feet."
"Venting","What is the minimum vent termination height above the roof line under WSSC regulations?","6 inches","12 inches","18 inches","24 inches","OptionB","WSSC requires vent terminals to extend at least 12 inches above the roof line to prevent winter frost closure."
"TSBPE Rules","Which type of trap is permitted for a residential bathtub in WSSC?","S-trap","P-trap","Bell trap","Crown vented trap","OptionB","Bathtubs must be fitted with a standard P-trap to ensure a reliable sewer gas seal."
